Model-Regime,RMSE,MAPE,R2,QLIKE,Count
One-Regime Common High - HAR,0.003371418111668375,0.4989726855414893,0.01629140130782658,0.34696320164412653,22
One-Regime Common High - RF,0.00372087616115436,0.5503729112460045,-0.19820649245640576,0.5217557785842316,22
One-Regime Common Low - HAR,0.0008699263338328489,0.6889187710310581,0.13498374675563918,0.32509032017243605,385
One-Regime Common Low - RF,0.0008871916175804097,1.276983589543468,0.10030735121214684,0.32979958465608644,385
One-Regime Common Overall - HAR,0.001153372658275488,0.678651415058649,0.3463349843089396,0.3262726380898247,407
One-Regime Common Overall - RF,0.001221857830385669,1.2377073366625237,0.26640343165882396,0.34017559513868895,407
One-Regime High - HAR,0.003371418111668375,0.4989726855414893,0.01629140130782658,0.34696320164412653,22
One-Regime High - RF,0.00372087616115436,0.5503729112460045,-0.19820649245640576,0.5217557785842316,22
One-Regime Low - HAR,0.0010744088690878108,0.6147242978715954,0.0814981020865243,0.3012851790892022,535
One-Regime Low - RF,0.0010926448345367648,1.0849362976604247,0.05005399089281015,0.3090668137851337,535
One-Regime Overall - HAR,0.0012480805625390973,0.6101524209034404,0.24600324731937973,0.30308933796928894,557
One-Regime Overall - RF,0.0013013665927578103,1.063822483475295,0.1802460011229745,0.31746745512369773,557
Two-Regime Common High - HAR,0.003345583423970767,0.5048723144365491,0.031309671036820697,0.3355827909485844,22
Two-Regime Common High - RF,0.003406139983961263,0.584439937206801,-0.0040751558715610425,0.3681107886700186,22
Two-Regime Common Low - HAR,0.0008685882027454502,0.6680700099774032,0.13764285672959087,0.32969794685974685,385
Two-Regime Common Low - RF,0.0008742268670064976,1.0613761229424248,0.12641008701789946,0.3476318252467638,385
Two-Regime Common Overall - HAR,0.0011483413208776495,0.659248512921141,0.35202548834163916,0.3300160465402246,407
Two-Regime Common Overall - RF,0.0011619312989126981,1.0355957885783367,0.33659790418236035,0.34873879624261533,407
Two-Regime High - HAR,0.007944125908739136,0.4412242375293479,0.08970409292640602,0.5782440505360392,172
Two-Regime High - RF,0.008050033101137513,0.5303762464182082,0.06527106919475045,0.7125524274101144,172
Two-Regime Low - HAR,0.0008685882027454502,0.6680700099774032,0.13764285672959087,0.32969794685974685,385
Two-Regime Low - RF,0.0008742268670064976,1.0613761229424248,0.12641008701789946,0.3476318252467638,385
Two-Regime Overall - HAR,0.004473186216470219,0.5980206870670524,0.23434389504960518,0.40644826971849424,557
Two-Regime Overall - RF,0.00453202579943406,0.8974048863855751,0.21406878025525478,0.46031825894891154,557
